gene_celltype,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,cell_type,gene,abs_lfc,expression_0.99
Ifit2_Gut/Liver,0.9414,0.05860000000000004,2.7770047144231684,1.8867162e-05,4.976142e-06,0.0,0.25,1.8568728,1.8972311,2.2653387,-6.7063293,10.236892,0.18057909465344968,0.042286689799368296,0.0827552568827227,0.02765358779305129,0.15544770403819247,0.046627317820925926,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Ifit2,1.8568728,1.1031898617744456
Igsf23_Gut/Liver,0.9366,0.06340000000000001,2.693193633086964,9.096799e-06,3.5599205e-06,0.0,0.25,1.5959816,1.6490872,2.6682673,-7.768545,10.12858,0.09992388112646076,0.04172505449530674,0.06488087026782018,0.025329196138618268,0.07848286227707374,0.04312618882656827,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Igsf23,1.5959816,0.7515054196119317
Ins2_Gut/Liver,0.9896,0.010399999999999965,4.699320973356759,5.016265e-05,3.6285965e-06,0.0,0.25,3.8906467,3.9226828,1.7134457,-2.1557493,9.098284,0.9162446051672155,0.0013123359580052493,0.08332060579784403,0.0013123359580052493,0.7487589803086593,0.0009162320252498098,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Ins2,3.8906467,1.511873389482499
Klk1b22_Gut/Liver,0.9436,0.056400000000000006,2.8344691943349973,3.2080425e-05,8.507641e-06,0.0,0.25,1.9138713,1.9701471,2.3452582,-6.8408794,9.345596,0.4489055140610525,0.02754237288135593,0.070191947657805,0.007415254237288135,0.38723147137279335,0.03189727507003649,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Klk1b22,1.9138713,1.614565731287005
Krt15_Gut/Liver,0.9386,0.06140000000000001,2.7373130788583637,4.8619244e-05,2.0835521e-05,0.0,0.25,1.5829402,1.622613,2.5822115,-8.34486,11.523828,0.9931739353211282,0.12106577249877665,0.07922644502690024,0.018317095956225812,0.7932634557313032,0.12231284993471489,0.5,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Krt15,1.5829402,2.7672199440002467
Krt19_Gut/Liver,0.929,0.07100000000000001,2.571432675999251,0.0001742033,7.560703e-05,0.0,0.25,1.5191875,1.523967,2.0546207,-5.9940157,8.87855,2.488578473878171,0.6695276702700299,0.28262149459038644,0.10960229547577753,1.7578292846825172,0.5932617509636714,0.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Krt19,1.5191875,9.814829411506665
Krt5_Gut/Liver,0.9316,0.06840000000000002,2.61248815327546,0.00021452547,9.821591e-05,0.0,0.25,1.3007551,1.3714812,2.4085875,-7.7668138,9.023762,3.070940819423371,0.7559055118110234,0.35496644857418747,0.1294374749766451,2.155533346837636,0.5376974289547156,0.5,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Krt5,1.3007551,13.926013097763065
Krt77_Gut/Liver,0.9396,0.060399999999999954,2.7453885179899027,5.904531e-05,1.4964457e-05,0.0,0.25,1.7939428,1.855447,2.5429177,-7.248105,9.82274,0.7971333484421497,0.08151496952711425,0.14777777230356878,0.025084523332888475,0.6033255948908778,0.0626426054573601,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Krt77,1.7939428,3.27747668147088
Krt84_Gut/Liver,0.9312,0.06880000000000003,2.6055392108117714,3.7058497e-05,8.54467e-06,0.0,0.25,1.7265869,1.7123284,2.1056728,-6.2260303,9.7960415,0.39337938237786474,0.03466568797544375,0.08579015824842831,0.010395813870723787,0.3311261765470719,0.031096387628136903,0.5,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Krt84,1.7265869,2.396768766045572
Ldb3_Gut/Liver,0.929,0.07100000000000001,2.5731712327083285,2.6149564e-05,8.024766e-06,0.0,0.25,1.8671472,1.8413444,1.8954946,-4.2345595,8.68649,0.24283152355989968,0.05868254815605678,0.12916190410499967,0.0369344721740291,0.18458494705947742,0.061076112298762794,0.5,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Ldb3,1.8671472,1.1238374471664432
Lgals2_Gut/Liver,0.9366,0.06340000000000001,2.693391948049383,0.00012476175,5.39162e-05,0.0,0.25,1.5727639,1.5644684,2.752143,-7.8228183,11.35994,1.7284391443154725,0.5468492815516705,0.2858682478371397,0.14506595044263543,1.314702661547631,0.5301028127451028,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Lgals2,1.5727639,7.790528345108049
Lgals4_Gut/Liver,0.94,0.06,2.7533310705197263,0.0004994831,0.00012860427,0.0,0.25,1.599116,1.5502434,3.164608,-9.097369,11.184749,6.110542340815483,1.6161500734018412,0.40168964192105294,0.18740824769785153,4.285742773778313,1.434587892459025,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Lgals4,1.599116,39.3279905319214
Lipn_Gut/Liver,0.9466,0.0534,2.8832141882086044,2.3142533e-05,1.0112473e-05,0.0,0.25,1.8030796,1.8574827,3.206011,-7.863052,12.207487,0.22763854127662914,0.07297644468170295,0.08589608418895214,0.03249977757017661,0.17345130327520186,0.07422270501532668,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Lipn,1.8030796,1.5968689292669302
Lrrc51_Gut/Liver,0.942,0.057999999999999996,2.798635932304664,1.2431476e-05,3.908964e-05,0.0,0.25,-1.6343282,-1.6508727,1.1067401,-5.2938356,2.1200423,0.12009291922038497,0.2953117353974818,0.10580030743156689,0.19084756884203066,0.11015926752024746,0.29388867056161244,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Lrrc51,1.6343282,1.0612191337347048
Lypd2_Gut/Liver,0.9631000000000001,0.03689999999999999,3.2625654998837352,0.00027571653,4.2270967e-05,0.0,0.25,2.782791,2.800004,1.7618887,-3.564661,8.476509,4.3638482155174145,0.12121591262956538,0.37266470252054473,0.03819954179456382,3.357285166441074,0.12535868488503799,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Lypd2,2.782791,9.019693908691412
Lypd3_Gut/Liver,0.9273,0.07269999999999999,2.5459365667069203,5.2317395e-05,2.170125e-05,0.0,0.25,1.1917357,1.2290959,2.3407474,-6.7624273,9.576265,0.3437974203338391,0.055615796966057236,0.09715379461206469,0.019882445838338002,0.23248005126626428,0.03933351078153614,0.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Lypd3,1.1917357,3.0751748394966167
Lypd8l_Gut/Liver,0.9379,0.06209999999999999,2.7172897563947433,0.0006909817,0.00044915735,0.0,0.25,1.3114147,1.1775689,3.0173118,-7.7132897,10.2433195,12.510506375263581,6.857939632545932,0.5789172890842093,0.38595466880199214,9.995432886387876,7.152426277602702,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Lypd8l,1.3114147,33.88453985214237
Mt1_Gut/Liver,0.9461999999999999,0.053800000000000014,2.8962239456185013,0.00033440802,0.0013689396,0.0,0.25,-1.9493711,-1.9586921,1.3264049,-5.7644796,2.574669,2.8728728593106436,20.552824302682467,0.42005917072305554,0.8014452377774828,2.1582814375388404,22.270937719540147,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Mt1,1.9493711,40.47445964813233
Mt4_Gut/Liver,0.9605,0.03949999999999998,3.196042954049072,2.1197011e-05,2.7187766e-06,0.0,0.25,2.660124,2.6362321,1.918762,-3.718182,8.646105,0.19210285162485452,0.01064882779483073,0.07213310210275306,0.008680323857822856,0.16555187203484403,0.0158112297911584,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Mt4,2.660124,1.0992476814985275
Muc13_Gut/Liver,0.9449,0.05510000000000004,2.843311467928328,0.00030955975,7.744045e-05,0.0,0.25,2.102804,2.0785983,2.8100343,-6.701132,11.504654,4.353010513765449,0.5588493705235995,0.40687754961275435,0.12225855242670941,3.3270748422068,0.6189845479670266,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Muc13,2.102804,22.993464403152483
Muc15_Gut/Liver,0.9360999999999999,0.06390000000000001,2.6850479771819966,3.8998263e-05,1.2271863e-05,0.0,0.25,1.9414868,1.9381495,1.8991458,-4.71633,8.374449,0.257459156928049,0.0225071177543485,0.1022887393335041,0.014229947951421327,0.19712362618743628,0.022017481403393206,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Muc15,1.9414868,1.2581626623868942
Mucl1_Gut/Liver,0.9771000000000001,0.022899999999999976,3.7562132462474995,5.1103525e-05,5.6583317e-06,0.0,0.25,3.3288145,3.3469331,1.9374686,-3.1846862,9.979037,0.7589137910647774,0.013170625917523021,0.10055943676960366,0.008577450064504649,0.5646076752041128,0.01510083687606464,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Mucl1,3.3288145,1.8247898250818264
Mucl2_Gut/Liver,0.9948,0.005199999999999982,5.352490789831688,7.866916e-05,6.785441e-06,0.0,0.25,3.429865,3.4535542,1.2766677,-1.2206855,7.6831465,1.8587785507360626,0.001968503937007874,0.16868706028417688,0.001968503937007874,1.3334119945797847,0.0017948869167367409,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Mucl2,3.429865,2.4342894792556766
Myo1a_Gut/Liver,0.9317,0.06829999999999997,2.6131105669803327,3.840375e-05,9.341375e-06,0.0,0.25,1.7865005,1.7474957,1.7563643,-4.6453085,8.266597,0.4968862700273927,0.0776085457538147,0.19554298129791262,0.054295119889674816,0.3860179776261419,0.07728331678109289,0.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Myo1a,1.7865005,2.022610753178598
Myo7b_Gut/Liver,0.9390000000000001,0.061,2.7349916071628204,1.6772541e-05,5.4373904e-06,0.0,0.25,1.8337512,1.8984108,1.7754341,-5.082895,8.136526,0.1692154582898133,0.047583299968859835,0.11141068718838061,0.041780661951154416,0.13939255425688224,0.050302548458641974,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Myo7b,1.8337512,0.6730296263098732
Naip1_Gut/Liver,0.9471,0.05289999999999995,2.9074461018359097,2.462375e-05,4.889675e-06,0.0,0.25,2.1669984,2.211248,2.0089176,-5.6522136,8.913014,0.2891482569024297,0.021495062057920726,0.07110956191001712,0.011605276035410828,0.22284395746030788,0.02724461950761208,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Naip1,2.1669984,1.129054715931416
Naip6_Gut/Liver,0.9298,0.07019999999999998,2.5841095759144816,1.2978042e-05,4.8437914e-06,0.0,0.25,1.249052,1.2918406,2.4968767,-8.275602,9.740267,0.13410224070315113,0.03592241647760132,0.07793808998285474,0.023360692201610397,0.12177452593767416,0.04860992259378907,0.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Naip6,1.249052,0.9735769715905191
Nts_Gut/Liver,0.9541,0.045899999999999996,3.053420709362351,8.1903214e-05,1.4496761e-05,0.0,0.25,2.4202614,2.4844997,1.7687231,-4.3993874,8.301864,1.7619031196421178,0.0,0.17403385688666384,0.0,1.2292410181121705,0.0,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Nts,2.4202614,2.966346421241768
Oxt_Gut/Liver,1.0,0.0,18.420680753952368,5.32552e-05,1.0458334e-06,0.0,0.25,5.530252,5.550875,1.2431855,1.1714554,9.667097,0.9984677689533532,0.012664598069309132,0.06378712334706263,0.012008430090306508,0.8001008004792101,0.01343667009762861,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Oxt,5.530252,1.5465659362077728
Penk_Gut/Liver,0.9526,0.0474,3.0080970670138267,6.572023e-05,1.6952905e-05,0.0,0.25,2.4029965,2.4429002,2.092771,-5.5187306,9.177642,0.4421484244132195,0.09104886783219895,0.05339406420590031,0.01710763379153877,0.39440643250447516,0.10398451040556694,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Penk,2.4029965,3.5855706679821058
Pf4_Gut/Liver,0.935,0.065,2.6790639388826802,4.940416e-05,1.2268987e-05,0.0,0.25,1.8581038,1.8346341,1.8033143,-4.6057205,8.919813,0.790006749699466,0.06080953334223055,0.13607911436060133,0.041227367765469994,0.5376952271925759,0.050998668705405405,0.5,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Pf4,1.8581038,2.1092371928691884
Pgc_Gut/Liver,0.9803,0.019699999999999995,3.9075615777324346,2.8624254e-05,2.1654473e-06,0.0,0.25,3.474532,3.5596328,1.8330531,-2.788288,9.348724,0.498826192775358,0.012917611993416078,0.07266273180537215,0.007771141954713288,0.3784534443011581,0.01166468927817696,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Pgc,3.474532,1.1163882088661197
Phgr1_Gut/Liver,0.9612,0.0388,3.215645808077208,6.2333755e-05,8.972754e-06,0.0,0.25,2.6827383,2.7679608,2.468883,-7.0362973,11.056543,0.7844838204284332,0.17061757640464434,0.13824936444435673,0.022103963699452823,0.6202581522026651,0.14126097828205475,1.0,WT vs Aire_KO,WT,Aire_KO,Gut/Liver,Phgr1,2.6827383,4.236266574859622
