gene_celltype,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,cell_type,gene,abs_lfc,expression_0.99
Mecom_Goblet,0.9321999999999999,0.06780000000000003,2.6230841534736924,6.336041e-05,2.3171688e-05,0.0,0.25,1.6697352,1.6573744,1.3356827,-2.6632137,6.254411,0.6381773399014778,0.2604166666666667,0.35788177339901484,0.17678571428571443,0.6128969539897718,0.19792516486413236,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Mecom,1.6697352,1.140680947899818
Mgp_Goblet,0.933,0.06699999999999995,2.633823264287101,0.00029852957,0.00012757158,0.0,0.25,1.3695006,1.4165883,2.3709497,-5.662916,7.7047906,0.2805418719211823,0.387797619047619,0.0687192118226601,0.1315476190476191,0.21573930153831805,0.2465803695941426,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Mgp,1.3695006,7.214296174049375
Muc5b_Goblet,0.9479,0.05209999999999998,2.9013943392331045,0.0003830999,0.00012254261,0.0,0.25,1.6602798,1.7288656,3.0446901,-9.845063,12.783222,6.299261083743842,1.6160714285714284,0.19187192118226604,0.04851190476190476,4.473222159617504,0.9131843371903818,1.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Muc5b,1.6602798,15.205564184188823
Mylk_Goblet,0.9299,0.0701,2.585276560388162,9.905576e-06,2.5368936e-05,0.0,0.25,-1.5222481,-1.5455198,1.5315866,-6.1716576,4.114043,0.1061576354679803,0.35357142857142854,0.08029556650246306,0.19970238095238102,0.12540565859251684,0.24463074282333366,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Mylk,1.5222481,0.801440603137016
Ncam1_Goblet,0.9279999999999999,0.07200000000000001,2.5574749877550476,3.7313373e-05,1.324666e-05,0.0,0.25,1.5347297,1.6808169,1.2985725,-3.5405025,5.3298974,0.04876847290640394,0.06517857142857142,0.04014778325123153,0.04136904761904762,0.03165392725977337,0.04690404058183211,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Ncam1,1.5347297,0.6963155445456501
Oas2_Goblet,0.9453,0.054700000000000026,2.8501200119183294,8.7658584e-05,2.806192e-05,0.0,0.25,1.9231398,1.9336848,2.2563896,-5.44409,8.443397,0.6583743842364533,0.3261904761904762,0.4036945812807882,0.18601190476190488,0.6862341839536159,0.24631367938900406,0.5,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Oas2,1.9231398,1.8448696452379219
Orm1_Goblet,0.9406,0.05940000000000001,2.762500304253638,0.00014580689,0.00042233022,0.0,0.25,-1.7634509,-1.8317792,2.504541,-9.168037,6.681984,2.1650246305418714,5.807440476190479,0.22660098522167488,0.556547619047618,2.0895862188379706,3.930822403753682,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Orm1,1.7634509,19.133024940490717
Orm2_Goblet,0.948,0.05199999999999999,2.910719725471088,1.0537741e-05,3.939564e-05,0.0,0.25,-1.9249008,-1.9434528,3.0261211,-9.720872,7.469083,0.008620689655172414,0.6842261904761903,0.008620689655172414,0.09970238095238096,0.0040606168889177644,0.4687824174844255,0.5,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Orm2,1.9249008,2.075687043666838
Orm3_Goblet,0.9514,0.04859999999999998,2.9753338078551104,3.0855808e-06,1.9361003e-05,0.0,0.25,-2.5119085,-2.5643792,2.2602136,-9.595653,5.076398,0.0,0.30565476190476193,0.0,0.1300595238095238,0.0,0.22023570762076905,1.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Orm3,2.5119085,1.1012798750400536
Osr1_Goblet,0.9430000000000001,0.056999999999999995,2.8061129916214407,3.1862164e-05,9.264233e-06,0.0,0.25,1.6931231,1.7784779,2.300086,-5.519338,9.419395,0.3320197044334976,0.10625000000000001,0.14310344827586208,0.07053571428571428,0.33936709783394753,0.08786473866651309,0.5,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Osr1,1.6931231,0.8095694628357882
Pinlyp_Goblet,0.9368,0.06320000000000003,2.6983683828129346,1.3552195e-05,4.931196e-05,0.0,0.25,-1.8551377,-1.9306798,2.0968196,-8.098241,5.1668406,0.06305418719211822,0.6294642857142854,0.05443349753694581,0.22023809523809518,0.060386411098143175,0.375430230563084,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Pinlyp,1.8551377,2.7535731852054575
Pinx1_Goblet,0.9283,0.07169999999999999,2.5609114551702015,3.8874572e-05,0.0001283965,0.0,0.25,-1.4773382,-1.3212724,0.9877056,-4.3354697,1.1727772,0.4044334975369458,1.5910714285714267,0.28669950738916256,0.5235119047619038,0.35044661140107436,1.1362972351590184,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Pinx1,1.4773382,3.56323732972145
Pla2g1b_Goblet,0.9327000000000001,0.06729999999999997,2.631152053422297,5.16598e-06,1.9734678e-05,0.0,0.25,-1.7034714,-1.6241207,2.254425,-8.181486,5.677138,0.0,0.15327380952380948,0.0,0.05565476190476191,0.0,0.12189623174279164,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Pla2g1b,1.7034714,1.1789677739143367
Plaur_Goblet,0.9485,0.05149999999999999,2.9632457333650324,8.107681e-05,1.8267112e-05,0.0,0.25,2.2038445,2.3326354,1.9175429,-4.26129,7.4342365,0.789655172413793,0.21785714285714292,0.28349753694581287,0.11428571428571432,0.7082466459456019,0.14155839252269706,0.5,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Plaur,2.2038445,1.5978884923458097
Prg3_Goblet,0.9306,0.06940000000000002,2.596008613654983,4.7040376e-06,9.944785e-06,0.0,0.25,-1.1838005,-1.2488108,2.299346,-8.23675,6.517383,0.008620689655172414,0.13511904761904764,0.008620689655172414,0.06488095238095239,0.005731460444898885,0.08502629220854171,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Prg3,1.1838005,0.732413442134856
Psca_Goblet,0.9375,0.0625,2.71220767833979,0.0009151811,0.0024643824,0.0,0.25,-1.6406192,-1.7169728,2.4266386,-7.366126,6.447877,16.892364532019705,77.21339285714289,0.6701970443349754,0.8303571428571408,16.36244289344457,55.47615815343234,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Psca,1.6406192,113.9093795394897
Psors1c2_Goblet,0.9325,0.0675,2.6309662182909306,5.070131e-05,0.000121253615,0.0,0.25,-1.2687004,-1.2693121,2.4625864,-8.33602,6.8690157,0.03152709359605911,0.41101190476190474,0.03152709359605911,0.07470238095238095,0.016286174199765503,0.2989510674514848,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Psors1c2,1.2687004,8.368174312114709
Ptgds_Goblet,0.9326000000000001,0.06739999999999996,2.6280719375825266,6.572811e-05,0.00029567291,0.0,0.25,-1.8973715,-1.8972931,2.2880328,-8.155489,5.126936,0.3332512315270936,3.8068452380952382,0.08325123152709361,0.28035714285714275,0.28904570493408505,2.444979093846869,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Ptgds,1.8973715,13.145541806221006
Rbp4_Goblet,0.9284,0.0716,2.563361250206289,2.0919944e-05,4.6887044e-06,0.0,0.25,1.8111448,1.7314761,2.1882365,-6.0521555,9.52094,0.17192118226600986,0.033035714285714286,0.08596059113300493,0.018750000000000003,0.12971502401489649,0.020820572670434995,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Rbp4,1.8111448,0.8049909400939934
Reg3g_Goblet,0.9393,0.06070000000000003,2.744933738906714,0.005164832,0.0016828154,0.0,0.25,1.751616,1.8192012,2.1800318,-5.96977,9.587763,172.8628078817734,31.616964285714282,0.684729064039409,0.5041666666666658,107.8262346771036,19.27052332214908,0.5,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Reg3g,1.751616,138.82609733581523
Rgs1_Goblet,0.9435,0.056499999999999995,2.8166698270051684,2.3230617e-05,8.547353e-05,0.0,0.25,-1.9073696,-1.9985058,2.5580401,-9.46885,6.543234,0.04014778325123153,1.1666666666666663,0.03152709359605911,0.09910714285714285,0.0719154379218663,0.9580610305389898,0.5,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Rgs1,1.9073696,4.321673216819761
Rptn_Goblet,0.9423,0.057699999999999974,2.7937266178664344,0.00048643735,0.0012860401,0.0,0.25,-1.8174324,-1.852485,2.939179,-9.184345,7.403886,6.046305418719212,23.726488095238096,0.29802955665024633,0.6321428571428558,7.328234829368038,17.232556350285037,0.5,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Rptn,1.8174324,56.675302314758284
S100a4_Goblet,0.9426,0.05740000000000001,2.79862173907774,9.091171e-05,0.00020145236,0.0,0.25,-1.6411378,-1.7965007,2.2815723,-7.0644984,7.553561,0.8731527093596059,1.4267857142857134,0.1975369458128079,0.28303571428571417,0.9310049689589517,0.9116223563384939,0.5,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,S100a4,1.6411378,7.842212772369381
S100a9_Goblet,0.9377,0.06230000000000002,2.715084318436745,8.403025e-05,0.00021433522,0.0,0.25,-1.3590658,-1.316808,2.6327736,-7.7263393,6.8262377,3.695566502463054,4.294642857142858,0.08596059113300493,0.11071428571428571,2.756184604438914,2.5429386783363386,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,S100a9,1.3590658,11.364476957321155
Sbsn_Goblet,0.948,0.05199999999999999,2.9035827744614187,0.00054643466,0.0019586883,0.0,0.25,-2.2030783,-2.306401,2.8287532,-8.396627,6.951459,5.313054187192119,35.9372023809524,0.5098522167487685,0.8208333333333313,5.65439111653903,25.73715298389667,1.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Sbsn,2.2030783,96.55850608825682
Scgb3a1_Goblet,0.9345,0.0655,2.660986967096089,6.9400085e-05,1.993877e-05,0.0,0.25,1.7132964,1.7567363,1.7944294,-4.388466,7.3647685,3.8519704433497535,1.1464285714285714,0.10615763546798031,0.06160714285714286,3.1552676195803007,0.6024797530475264,0.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Scgb3a1,1.7132964,1.6241844004392616
Scgb3a2_Goblet,0.9534,0.046599999999999975,3.019353443011353,0.0003660745,0.000100077836,0.0,0.25,2.6286643,2.702693,3.0325446,-6.517615,10.699736,3.2337438423645324,1.0065476190476188,0.15467980295566502,0.06845238095238096,2.795151353063395,0.6059478928516158,1.0,WT vs Fezf2_KO,WT,Fezf2_KO,Goblet,Scgb3a2,2.6286643,10.19682973384856
