NAME	TITLE	SCORE	
Tnc		2.9776134	
Plpp2		2.9738598	
Akr1b1		2.9736602	
Plekhg3		2.9714565	
Mgst3		2.968558	
Bcar1		2.968526	
Laptm4a		2.9682426	
Sh2d4a		2.96643	
Sema3d		2.9643712	
Ifit3b		2.96376	
Rps14		2.959915	
Tuba1c		2.9556384	
Psmb3		2.9533563	
Lgals7		2.9412763	
Phb2		2.9404747	
Casq2		2.939009	
Spin1		2.9352007	
Ccl2		2.9292324	
Fosl2		2.9213388	
Itpkc		2.919142	
Nlrc5		2.9190834	
Sfr1		2.916339	
Commd2		2.9145503	
Polr1d		2.9141738	
Atp10d		2.9020338	
Trim47		2.8977938	
Ckmt1		2.8972747	
Rpl36al		2.8921673	
Tgfbr2		2.8899276	
Rpl35a		2.8874755	
Tcim		2.8861542	
Gpr87		2.8839912	
Pgap2		2.8756566	
Ier5l		2.8749707	
Tmem185b		2.8670623	
Hif1a		2.8649924	
Cbr2		2.8612466	
Rassf10		2.8531063	
Bace2		2.8467028	
Ctnnd1		2.8441396	
Txn1		2.8402245	
Sdc4		2.8398628	
Cav2		2.8386624	
Prdx5		2.83708	
Cux1		2.8357506	
Card10		2.8345034	
Ltbp4		2.8221474	
Map3k4		2.8214796	
Ssbp3		2.8204582	
Eef1d		2.8167596	
Clca2		2.8158383	
Slc16a3		2.8116384	
Acer3		2.8093224	
Zdhhc18		2.8051941	
Parp8		2.8037257	
Dnajb6		2.8022933	
Myo1c		2.7982066	
Adamtsl5		2.797383	
Rps29		2.7949235	
Eif4h		2.7920945	
Serpinb10		2.7884161	
Srd5a1		2.7812586	
Gnb1		2.7798874	
Chst11		2.7775314	
Ppp2r3a		2.77457	
Bicd2		2.7739465	
Dll1		2.772879	
Ano6		2.7624776	
Chmp4b		2.7613337	
Fosb		2.752679	
Ehd4		2.7456863	
Glo1		2.745297	
Mbnl1		2.7449126	
Bsg		2.7401469	
Lamc2		2.7368028	
Pitpna		2.7350988	
Efemp1		2.7334967	
Inka1		2.7328856	
Nudt9		2.7310295	
Vamp5		2.7305799	
Rps15		2.729717	
Ski		2.7280843	
Tcf12		2.7279727	
Trir		2.7270749	
Gal3st1		2.721431	
Ppp1r13l		2.7201684	
Dynlrb1		2.7193034	
Ifit1		2.7177405	
Rpl34		2.708445	
Plch2		2.70587	
Rpl7		2.7041829	
Vsnl1		2.6974905	
Ntn4		2.6950514	
Lxn		2.6927185	
Sncg		2.6919365	
Dsg3		2.6914465	
Bbln		2.6900296	
Epha1		2.6874824	
Dtnbp1		2.6844623	
Bcl11b		2.6790638	
Trabd2b		2.6777608	
Smim30		2.675759	
Psmd14		2.6740813	
Skic8		2.6720276	
Pak6		2.6705244	
Mrps24		2.6688304	
Hbegf		2.6669133	
Tspan9		2.665695	
Frmd6		2.663951	
Gbp3		2.6635766	
Defb1		2.6565259	
Slc25a5		2.6539445	
Basp1		2.6517723	
Plcg1		2.6514513	
Bnc1		2.6489396	
Hspa1a		2.6485798	
Osbpl5		2.645255	
Rpl6		2.6426165	
Hnrnpab		2.642504	
Dmkn		2.6422946	
Ece1		2.641733	
Rap2b		2.6326723	
Nfkb1		2.6302059	
Fau		2.6300478	
Rnf213		2.6291687	
Ccnd1		2.6256585	
Tuba4a		2.6170974	
Blcap		2.6165476	
Cd151		2.616239	
Dram1		2.6129236	
Mndal		2.6102717	
Psmb9		2.6083927	
Pebp1		2.6077602	
Calm1		2.6072865	
Fbxo32		2.606655	
Stim2		2.5977557	
Ethe1		2.5909395	
Vcl		2.5889256	
Clu		2.584461	
Fam219b		2.583962	
Cadm1		2.5835059	
Fam241a		2.5826645	
Arhgef16		2.5788028	
Slirp		2.5763211	
Nhp2		2.5730217	
Oxct1		2.5725584	
Mbp		2.5699472	
Shroom3		2.5676856	
Tnfsf10		2.5672019	
Ryk		2.565929	
Ifi27		2.5653033	
Slc25a3		2.5631003	
Abca1		2.5605497	
H60c		2.5556774	
Calm2		2.555057	
Cdkn1a		2.553536	
Trim13		2.5522041	
9130008F23Rik		2.5474267	
Tap2		2.546975	
Egr1		2.5458527	
Sprr2j-ps		2.5451493	
Abcg2		2.5440845	
Ccn1		2.541404	
Ybx1		2.5408976	
Hr		2.5393987	
Pmp22		2.5331461	
Evpl		2.5315843	
Ube2e1		2.5308926	
Anxa3		2.530692	
Prrc2b		2.5293767	
Smim15		2.5229948	
Reep5		2.5218072	
Csta1		2.5209603	
Ifi203		2.5145416	
Cltb		2.51284	
Rhod		2.5116286	
Rpl10a		2.5112674	
Plp2		2.5086002	
Trim12a		2.5054336	
Prss22		2.50255	
Rin1		2.5013452	
C3		2.499109	
Oas2		2.4983618	
Sppl3		2.4976816	
Gjb4		2.4946585	
Apol9a		2.4943237	
Rab3d		2.4921978	
Il17rc		2.4897017	
Aprt		2.4878662	
Gdpd2		2.4855368	
Commd3		2.4843755	
Smim12		2.4842908	
Lrp1		2.4840403	
Ifit2		2.4813375	
Ube2a		2.4786112	
Crcp		2.4772081	
Nsun2		2.4751818	
Cnn2		2.473376	
Rai1		2.4731383	
Susd6		2.467731	
Sem1		2.4666858	
Ap2a2		2.4663677	
Tmed10		2.4638183	
Npm1		2.463699	
Macroh2a1		2.461583	
Psma5		2.457636	
Lsm1		2.457353	
Mrpl52		2.445847	
Nras		2.4454217	
Nupr1		2.4453804	
Snrpe		2.4420676	
Btf3		2.4387612	
Bcam		2.4349961	
Sh3d19		2.4331343	
Cdk19		2.4328632	
Med21		2.4323635	
Tap1		2.4261441	
Nsa2		2.4203403	
Pfdn5		2.419605	
Fam120a		2.4180582	
Hnrnpc		2.4128082	
Zfp326		2.4082026	
Exosc7		2.4080398	
Dtx3l		2.407595	
Znfx1		2.4071343	
Mrpl12		2.4049046	
Ctsc		2.4045713	
Phc2		2.4043062	
Wdtc1		2.4031985	
Mst1r		2.4005866	
Eif4ebp1		2.3997583	
Trafd1		2.399598	
Myh9		2.3951318	
Cep170b		2.3926222	
Gsn		2.391368	
Camsap2		2.390466	
Bmal1		2.3902826	
Pomgnt1		2.3894653	
Adam10		2.389003	
Septin9		2.3879175	
Ptpn12		2.3856595	
Gsdmc2		2.3852284	
Erh		2.384694	
Notch1		2.382625	
St3gal2		2.3811016	
Garre1		2.38102	
Bccip		2.3763437	
Palmd		2.3737872	
Cald1		2.3735282	
Nhsl3		2.3730905	
Rarg		2.3729005	
Reep4		2.3686483	
Wdr1		2.3672147	
Gsdmd		2.3664668	
Picalm		2.3656793	
Ptprs		2.363581	
Rxra		2.3634174	
Guca2a		2.3543925	
Abhd17c		2.3543591	
Adgrg7		2.3530266	
Erf		2.352228	
Mb21d2		2.346545	
Tmem43		2.345083	
Mrps16		2.3411415	
Ass1		2.3369787	
Grn		2.3368275	
Ddit4		2.3366563	
Golim4		2.3365242	
Chic2		2.3350804	
Id3		2.32911	
1700025G04Rik		2.3291	
Ube2h		2.326624	
Wdr43		2.323944	
Dzip1l		2.3238726	
Psmc5		2.3235745	
Snrpb		2.3230748	
Iffo2		2.3226535	
Zc3hav1		2.321705	
Ctdsp2		2.3178422	
Brk1		2.3176122	
Rpl39		2.316412	
Baz1a		2.316281	
Rps13		2.3088667	
Elob		2.308722	
Shc1		2.3035994	
Igsf3		2.3025644	
Krt15		2.3023365	
Dhx58		2.3020828	
Tor1aip2		2.298423	
Tax1bp3		2.297211	
Sulf2		2.2967846	
Plekha1		2.2884684	
Flna		2.2827468	
Gss		2.2826874	
Mtap		2.2799613	
Shisa5		2.2782724	
Tspan3		2.2764168	
Capns1		2.2716053	
Dynll1		2.2709968	
Tmem64		2.268501	
Got2		2.267908	
Btg1		2.2639444	
Cep164		2.2629118	
Mprip		2.2582254	
Ang		2.2563653	
Fam83b		2.2545455	
Tmem132a		2.2508516	
Tmod3		2.2486203	
Mrpl4		2.2475924	
Wdr46		2.2462983	
Itgav		2.2453	
Micos13		2.2447965	
Hspg2		2.2401626	
Tbca		2.2399082	
Tmsb10		2.2389083	
Ift43		2.2384956	
Chmp2b		2.2380953	
Slc16a1		2.23748	
Pml		2.2369347	
Fam20c		2.235853	
Map7d1		2.234745	
Adam30		2.233912	
Myo1d		2.232167	
Acvr1		2.2319505	
Meiob		2.2318015	
Rab7b		2.2215693	
Cst3		2.2186573	
Ifi35		2.2186053	
Afap1l2		2.2132292	
Pdk1		2.2119837	
Ltbr		2.2085185	
Entpd2		2.2083127	
Eef2k		2.206885	
Llph		2.2051256	
Acsl4		2.2041268	
Mcl1		2.2013147	
Wdr74		2.2011552	
Adar		2.1957333	
Keap1		2.1956086	
Pkp4		2.1948328	
Trim25		2.1916687	
Efnb1		2.1877441	
Nfe2l2		2.1837056	
2810004N23Rik		2.1825855	
Atp5pd		2.181258	
Higd2a		2.1803088	
Lratd1		2.1797957	
Rnpep		2.1795244	
Rbbp8		2.1765459	
Lgr4		2.1762817	
Stat1		2.17515	
Pprc1		2.172647	
Erp29		2.1721997	
Nme1		2.1707237	
Lamp1		2.1632211	
Trim21		2.1596255	
Hs6st1		2.1577737	
Cops6		2.155104	
Aph1a		2.149229	
Rbfox2		2.146391	
Afap1		2.1459992	
Rpl15		2.1444228	
Ptpn14		2.1443322	
F3		2.1423328	
Tmbim1		2.1419744	
Thumpd1		2.1414037	
Emg1		2.1410112	
Cpox		2.1401885	
Ywhaz		2.1391659	
Bcr		2.1388814	
Colgalt1		2.1339414	
Tmem258		2.1284096	
Snrpf		2.1268036	
Trp73		2.126741	
Tomm7		2.1246943	
Cdc42ep3		2.124442	
Hyal2		2.1223779	
Col4a5		2.1211836	
Egfr		2.1210108	
Hmcn1		2.1173327	
Gatad1		2.1170511	
Serf2		2.116143	
Pard3		2.114837	
Cdk17		2.114815	
Cebpa		2.1142497	
Rac3		2.1141207	
Ifitm1		2.1140938	
Plxnb2		2.10927	
Paqr5		2.1091738	
Nfic		2.1072433	
Ap2s1		2.1057644	
Capn1		2.1054263	
Ablim1		2.1041982	
Ywhab		2.102951	
Pawr		2.101463	
Epha2		2.1001756	
Mark4		2.0977042	
Gpi1		2.0976236	
Dennd2c		2.0971935	
Mob3b		2.0964649	
Dpagt1		2.095565	
Vegfd		2.0931072	
Slc44a1		2.09237	
Tnk2		2.0893612	
Lrrfip2		2.0866082	
Ces2e		2.083951	
Eya2		2.0837984	
Akr1b8		2.0826664	
Akr7a5		2.0818236	
Agap1		2.0811174	
Nfix		2.0805485	
Npc1		2.080445	
Ldlrad4		2.0797157	
Gbp7		2.0790577	
Sdcbp		2.0759895	
Bnip2		2.075251	
Sfxn3		2.0741513	
Smagp		2.0741158	
Itga1		2.0723443	
Oas1g		2.0703564	
Mbd2		2.07002	
S100a16		2.0692308	
Vegfc		2.069172	
Parp12		2.0683153	
B4galnt1		2.066416	
Lancl1		2.0650482	
Adam28		2.0632997	
G3bp1		2.061423	
Cdh1		2.061146	
Rexo2		2.050281	
Acadl		2.0486214	
Adss2		2.0435216	
Trim16		2.0419583	
Pwwp2b		2.0404778	
Myadm		2.040019	
Naa12		2.0373993	
Eif5a		2.036473	
Skil		2.0363224	
Zfp282		2.0347786	
Car13		2.0291166	
Tor3a		2.02881	
Ip6k1		2.0285285	
Tmem150a		2.028296	
Rpl22l1		2.0270388	
Arhgef19		2.0261276	
Rpl38		2.0241296	
Atxn10		2.022139	
Rrp9		2.0193245	
H2-T23		2.01914	
Nt5c		2.0187945	
Set		2.0187395	
Hint1		2.0140572	
Eif3k		2.0130537	
Nenf		2.0069792	
Msrb1		2.0065837	
Oaz1		2.00594	
Irf9		2.005224	
Mpp1		2.004861	
Fam53b		2.0030124	
N4bp1		2.0028343	
Zmiz1		1.9988633	
Rplp0		1.9972117	
Atp5pf		1.9959279	
Sav1		1.9947095	
Slc45a4		1.9926485	
Nckap5		1.992507	
Mvb12a		1.9907109	
Atxn7l3		1.989807	
Naca		1.9811872	
Fhl2		1.9802259	
Slc1a1		1.9799848	
Cilk1		1.9799825	
Ltv1		1.9789242	
Sord		1.9787294	
Gm5431		1.9781427	
R3hdm4		1.977443	
Abl2		1.9760842	
Prrg4		1.9736283	
Ost4		1.9726346	
Pla2r1		1.9723551	
Pfdn1		1.9709871	
Scarb2		1.9674102	
Grpel1		1.9663453	
Ifi27l2b		1.9662317	
Mast2		1.9650738	
Rab5b		1.964175	
Eef1g		1.9641368	
Gar1		1.9639703	
Mlkl		1.9633948	
Tcirg1		1.9620258	
Nsrp1		1.9613144	
Eif3d		1.9592009	
Insig2		1.9590952	
Bloc1s4		1.9587139	
Psma2		1.9577178	
Slc43a2		1.9555944	
Ptpre		1.9531652	
Coro1c		1.9519457	
Carhsp1		1.9505514	
Rcc2		1.9504629	
Met		1.9488244	
Rbms3		1.9484686	
Zbtb7a		1.9441199	
Stfa3		1.9431665	
Ppa1		1.9393595	
Bin3		1.93912	
P3h4		1.9386923	
Arhgap12		1.9385467	
Fos		1.9360932	
Atp10b		1.9360846	
Map2k4		1.9349893	
Egln1		1.9310538	
Tmc4		1.9285197	
Xrn2		1.927328	
Fam43a		1.9252002	
Trib1		1.9250664	
Ogfr		1.9238702	
Gtf2h1		1.9230759	
Inafm2		1.922923	
Tmem238		1.9191264	
Rassf5		1.9190227	
Gprc5b		1.9184414	
Smad7		1.9168566	
Stat2		1.916168	
Bag3		1.9148141	
Plekhg6		1.9140418	
Frrs1		1.9134957	
Stoml2		1.9120848	
Il6ra		1.9117336	
Prickle3		1.9108028	
Trnau1ap		1.910618	
Ddb1		1.9104779	
Nrip1		1.9094872	
Tor2a		1.9094512	
Bop1		1.9088881	
Plekhh3		1.9088717	
Npdc1		1.9077178	
Vtcn1		1.9052927	
Dnpep		1.9049284	
D630023F18Rik		1.9043564	
Irgm2		1.9035861	
Irf2bpl		1.8999026	
Dip2b		1.8998036	
AI661453		1.8992567	
Lgals4		1.8989595	
Actr3		1.8983195	
Mdfi		1.8954649	
U2af1		1.8938236	
Mapk14		1.8919023	
Cited2		1.8908417	
Elovl7		1.8907766	
Eif3h		1.8902739	
Drap1		1.8902653	
Lcn2		1.8892015	
Mettl23		1.8865237	
