external_gene_name,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Gstm2,0.9686,0.031399999999999983,3.429043528907814,0.00016842628,4.225662e-05,0.0,0.25,2.4326584,2.327032,1.4280083,-1.4616461,7.4023476,1.0552995391705096,0.2830355955494523,0.5299539170506903,0.1139234895163816,1.6371806706423737,0.21611317644863706,True,2 vs Rest,2,Rest
Dipk1a,0.9686,0.031399999999999983,3.429043528907814,0.00016558192,4.4190012e-05,0.0,0.25,2.3684065,2.4141345,1.2424057,-2.6381283,6.743001,1.175115207373273,0.3725785717452096,0.5875576036866361,0.21769581985017555,1.795619083376892,0.3335955908311777,True,2 vs Rest,2,Rest
Ifi27l2a,0.9684,0.03159999999999996,3.4224877983417037,0.0054815966,0.0011808544,0.0,0.25,3.341713,3.627684,1.8041588,-2.517249,8.859666,50.67281105990779,13.081652555519621,1.0000000000000082,0.7140830710581314,80.8993112795378,13.627015206034036,True,2 vs Rest,2,Rest
Cyba,0.9684,0.03159999999999996,3.4224877983417037,9.186424e-05,0.0011608214,0.0,0.25,-3.1552687,-3.5380611,1.6061068,-6.8342547,2.500039,0.23502304147465405,19.89237111573936,0.18433179723502285,0.8705616383705161,0.4216068551339149,13.529249833195268,True,2 vs Rest,2,Rest
Clstn1,0.9684,0.03159999999999996,3.4224877983417037,0.00031021464,9.1712885e-05,0.0,0.25,2.0317173,2.0470943,1.0197997,-1.2850599,5.51153,2.0368663594470044,0.9562480606410081,0.7949308755760411,0.47626224566692915,3.3704278633501072,0.9045146966320919,True,2 vs Rest,2,Rest
Susd4,0.9684,0.03159999999999996,3.4224877983417037,2.9008434e-05,7.681633e-06,0.0,0.25,2.3687372,2.2232847,1.4264035,-2.484395,7.5283175,0.18433179723502288,0.043264329092602014,0.14976958525345618,0.03475331353340168,0.26816067770033447,0.04055653399978781,True,2 vs Rest,2,Rest
Dpp6,0.9682,0.03180000000000005,3.4159720835825462,0.00015421631,3.540109e-05,0.0,0.25,2.807432,2.9401374,1.5511473,-3.388565,7.6448956,0.9124423963133658,0.20058513231969874,0.42396313364055177,0.1154749767276942,1.4883307753078905,0.2255594310100167,True,2 vs Rest,2,Rest
Bnc1,0.9682,0.03180000000000005,3.4159720835825462,1.8960884e-05,3.9071456e-06,0.0,0.25,2.912542,3.002098,1.5247378,-2.8435307,8.8713875,0.12442396313364061,0.02030231836517576,0.11290322580645165,0.017066359324438077,0.18202313526529967,0.021901998629199695,True,2 vs Rest,2,Rest
Gucy1a2,0.9682,0.03180000000000005,3.4159720835825462,3.553164e-05,8.993034e-06,0.0,0.25,2.3665469,2.448285,1.4047085,-3.9252262,7.365324,0.22119815668202752,0.05851323196950295,0.16359447004608285,0.046278647103152395,0.33721263550803304,0.052010129336299574,True,2 vs Rest,2,Rest
Flna,0.968,0.03200000000000003,3.409495882307477,0.00024961325,0.000104587125,0.0,0.25,2.1718755,2.4671488,1.6320747,-2.9763212,6.587037,1.5046082949308761,0.9017686954209162,0.5944700460829496,0.353606099561159,2.3654090113307205,0.9380829218354424,True,2 vs Rest,2,Rest
Txndc17,0.968,0.03200000000000003,3.409495882307477,0.0006096319,0.00020843692,0.0,0.25,1.6710668,1.6944323,0.8585704,-1.6267204,5.1194906,4.755760368663585,2.8615186843381717,0.8709677419354896,0.7867813289596359,6.972449208861112,2.2229617169019438,True,2 vs Rest,2,Rest
Frmd6,0.9678,0.032200000000000006,3.4030587015826104,0.00022530548,4.1650663e-05,0.0,0.25,3.3695664,3.6605458,1.6692634,-2.482376,7.9410276,1.1198156682027665,0.28746841615320373,0.5691244239631335,0.15696617757879677,1.9252735402313312,0.3013886808786223,True,2 vs Rest,2,Rest
Wnt4,0.9676,0.032399999999999984,3.3966600576305104,0.00045710488,0.00015215854,0.0,0.25,1.8509622,1.8554716,0.97141945,-1.5548048,5.7817764,2.88248847926267,1.4458974245310232,0.8364055299539221,0.4725830045658164,4.48275519870064,1.2749720875110155,True,2 vs Rest,2,Rest
St3gal2,0.9672,0.03280000000000005,3.3839764893716042,6.243333e-05,1.4891953e-05,0.0,0.25,2.4615173,2.5397167,1.213516,-1.084219,6.5339556,0.4032258064516121,0.10572277139944336,0.3248847926267273,0.08511015559200481,0.6676012675798513,0.10945233538350721,True,2 vs Rest,2,Rest
Vsnl1,0.9672,0.03280000000000005,3.3839764893716042,8.358593e-05,1.5295205e-05,0.0,0.25,3.043691,3.01011,1.955913,-2.9025564,9.150228,0.5875576036866356,0.06010904738685279,0.3133640552995384,0.03431003147302665,0.9053943976376579,0.05817419011842225,True,2 vs Rest,2,Rest
Phpt1,0.9672,0.03280000000000005,3.3839764893716042,6.757438e-05,2.372599e-05,0.0,0.25,1.672468,1.6400332,0.87327677,-1.4875145,5.2450333,0.4746543778801833,0.2939403342346801,0.3571428571428562,0.23006338933463882,0.7433082848061239,0.22432715702218176,True,2 vs Rest,2,Rest
Atp1b3,0.9672,0.03280000000000005,3.3839764893716042,0.00014949586,5.689069e-05,0.0,0.25,1.5236981,1.5615935,0.70107013,-1.6709566,4.300558,1.000000000000002,0.651890597987514,0.5322580645161281,0.36357994591959714,1.5792165120850123,0.5177552722278624,True,2 vs Rest,2,Rest
Tafa5,0.967,0.03300000000000003,3.377690641297818,3.9726132e-05,1.0430841e-05,0.0,0.25,2.261828,2.1997423,1.2713281,-2.170682,8.19991,0.2926267281105987,0.06959528347887849,0.2211981566820273,0.04969191896804011,0.47897078196624937,0.05795053957796381,True,2 vs Rest,2,Rest
Samd5,0.967,0.03300000000000003,3.377690641297818,8.919911e-05,2.2913504e-05,0.0,0.25,2.273841,2.2175508,1.3526148,-1.9751225,7.202173,0.5529953917050688,0.1455738286271578,0.3663594470046073,0.08932133516556758,0.8774990058207303,0.124445636484531,True,2 vs Rest,2,Rest
Synm,0.967,0.03300000000000003,3.377690641297818,0.00013819897,4.123556e-05,0.0,0.25,2.3821476,2.3790417,1.6300062,-4.4409704,8.281415,0.9331797235023059,0.2710669799193265,0.47004608294930733,0.10767321246509372,1.4157717555802476,0.24987969226217246,True,2 vs Rest,2,Rest
Igfbp3,0.9668,0.03320000000000001,3.371441482045512,0.00014820324,2.8456087e-05,0.0,0.25,3.086533,3.060215,1.8020729,-2.9280539,8.448192,1.1013824884792638,0.2341415842900853,0.41474654377880066,0.04667760095748992,1.7105941675677359,0.18570181271720643,True,2 vs Rest,2,Rest
Zfp395,0.9668,0.03320000000000001,3.371441482045512,5.043063e-05,1.2334418e-05,0.0,0.25,2.5750926,2.5671744,1.4261161,-1.5555706,8.145303,0.23732718894009192,0.07850525289241668,0.19815668202764952,0.06365530386985348,0.38723573208364964,0.08749923669389228,True,2 vs Rest,2,Rest
Igfbp4,0.9668,0.03320000000000001,3.371441482045512,0.0005169768,0.00010463015,0.0,0.25,3.0308015,3.2312045,1.7766893,-2.8616,8.2266,2.8686635944700405,0.6033068841704101,0.6889400921659008,0.22257192251430086,4.983099905087861,0.7673644947057491,True,2 vs Rest,2,Rest
Sntb2,0.9668,0.03320000000000001,3.371441482045512,0.00022559593,4.548803e-05,0.0,0.25,2.8698719,3.0677423,1.290912,-1.4800406,6.0297346,1.299539170506914,0.35896981249169624,0.603686635944701,0.23032935857086384,1.9896473121535976,0.36403106621685494,True,2 vs Rest,2,Rest
Plxdc2,0.9666,0.033399999999999985,3.3652285703727176,0.00014695832,4.3854154e-05,0.0,0.25,2.282092,2.3421388,1.4024574,-4.6270876,6.769397,0.7834101382488492,0.2892415443947034,0.47695852534562067,0.13138880269515768,1.2502560921205514,0.2816207830224982,True,2 vs Rest,2,Rest
Ajuba,0.9664,0.03359999999999996,3.359051472940072,6.270466e-05,1.5597421e-05,0.0,0.25,2.524716,2.6015468,1.3371177,-1.4505587,7.1257715,0.39170506912442327,0.10195487388625554,0.3041474654377873,0.07726406312336682,0.602788434288238,0.10495172200749674,True,2 vs Rest,2,Rest
Tns1,0.9664,0.03359999999999996,3.359051472940072,0.0001443205,3.6763664e-05,0.0,0.25,2.5358112,2.423441,1.6356858,-2.5288677,8.70193,0.857142857142859,0.16804822908817113,0.4930875576036851,0.07354049381621659,1.369895308540232,0.13552682554917977,True,2 vs Rest,2,Rest
Nell2,0.9664,0.03359999999999996,3.359051472940072,4.1617044e-05,7.904413e-06,0.0,0.25,3.3376489,3.2873373,2.1030884,-3.5982208,10.260304,0.28341013824884775,0.029300944190788686,0.18202764976958508,0.018662174741788176,0.43930415130543743,0.025848307705869707,True,2 vs Rest,2,Rest
Nudt16,0.9662,0.03380000000000005,3.3529097641232113,6.329054e-05,2.1924689e-05,0.0,0.25,1.6312475,1.609685,0.8593485,-1.686224,4.472151,0.3387096774193545,0.26721042599406586,0.23502304147465397,0.200629460525737,0.4942019787118405,0.20308116222157482,True,2 vs Rest,2,Rest
