external_gene_name,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Extl3,0.966,0.03400000000000003,3.3468030258307184,4.3909182e-05,1.3798806e-05,0.0,0.25,1.8571793,1.8786116,0.9357847,-1.7139473,5.1912985,0.16910229645093935,0.12017245291581799,0.14405010438413374,0.1022464261402334,0.43730398924599784,0.11129923399216944,True,1 vs Rest,1,Rest
Vmn2r95,0.966,0.03400000000000003,3.3468030258307184,0.00011735114,2.7315364e-05,0.0,0.25,2.5871966,2.7111912,1.446132,-3.9846945,7.430073,0.39770354906054173,0.24960290447016623,0.25887265135699294,0.17499432720672023,1.1684159424230565,0.23884522189982074,True,1 vs Rest,1,Rest
Mtmr11,0.966,0.03400000000000003,3.3468030258307184,3.605786e-05,8.778684e-06,0.0,0.25,2.5150437,2.6447492,1.471363,-4.0132008,6.7722654,0.13256784968684773,0.055684138869980304,0.11377870563674343,0.04719764011799475,0.4203471573566877,0.05893098551694089,True,1 vs Rest,1,Rest
Kctd4,0.9658,0.03420000000000001,3.3407308473273742,0.000112528825,2.2656775e-05,0.0,0.25,2.8294458,2.9985714,1.5748146,-2.8610506,7.612365,0.41336116910229537,0.1576128885863427,0.2943632567849676,0.10170183798502576,1.218729506071315,0.16154335153587537,True,1 vs Rest,1,Rest
Carm1,0.9658,0.03420000000000001,3.3407308473273742,4.6082714e-05,1.985042e-05,0.0,0.25,1.3139513,1.3035526,0.6332372,-0.59739876,4.820406,0.1607515657620041,0.2264125255275745,0.14091858037578303,0.1849330610392596,0.41048258153971695,0.1832208934682864,True,1 vs Rest,1,Rest
Kalrn,0.9658,0.03420000000000001,3.3407308473273742,0.0001442168,4.405352e-05,0.0,0.25,1.8936251,1.8918095,1.0476754,-1.8256559,6.4646416,0.5073068893528164,0.43984570002263806,0.3486430062630465,0.26889040163375877,1.4361452864596285,0.387365137945368,True,1 vs Rest,1,Rest
Slc20a2,0.9658,0.03420000000000001,3.3407308473273742,5.598232e-05,1.8743456e-05,0.0,0.25,1.737573,1.7612791,0.8850392,-1.2538853,5.3743525,0.16805845511482242,0.17213523939187997,0.15344467640918585,0.14277286135693504,0.45823720824966063,0.1500234682469738,True,1 vs Rest,1,Rest
Sntb2,0.9656,0.034399999999999986,3.3346928250625925,0.00017481558,4.2796135e-05,0.0,0.25,2.5236754,2.7334123,1.3017578,-3.0788765,5.9542084,0.5970772442588701,0.3671431813024452,0.37160751565761835,0.23154073065577988,1.6138937665310287,0.34170971308935394,True,1 vs Rest,1,Rest
Hip1,0.9656,0.034399999999999986,3.3346928250625925,4.866359e-05,9.603265e-06,0.0,0.25,2.5000272,2.525505,1.5003208,-2.5889177,7.312956,0.14613778705636757,0.04801452235080606,0.12212943632567876,0.03712275924665347,0.46895201956541166,0.042913915339107433,True,1 vs Rest,1,Rest
Tox,0.9654,0.034599999999999964,3.3286885625038165,9.7449614e-05,3.2592474e-05,0.0,0.25,1.7336537,1.7690701,0.87125975,-1.4833012,5.9345083,0.39144050104384004,0.3178579532561656,0.26617954070981126,0.21320626276378943,0.9995170977796843,0.2671981080471999,True,1 vs Rest,1,Rest
