feature_name,entropy,entropy_score,peak_cell_types,max_average_cell_type_expression,peak_tissue,max_average_tissue_expression,tau_score,tau_TRA_0.85,entropy_TRA_0.85,tau_TRA_0.9,entropy_TRA_0.9,tau_TRA_0.95,entropy_TRA_0.95
Kcnj9,0.5865778736360896,0.8736873301701996,"GABAergic neuron,glutamatergic neuron,neuron",0.9039424657821655,primary motor cortex,0.8181969523429871,0.9749706,True,True,True,True,True,True
Kcnj10,1.4900845163689087,0.6791277646258909,"astrocyte,kidney collecting duct epithelial cell,kidney collecting duct principal cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle ascending limb epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,oligodendrocyte",3.9310903549194336,kidney,0.7171569466590881,0.92042595,True,True,True,True,False,False
Pigm,3.740408021917811,0.1945469736651642,"Leydig cell,Sertoli cell,glioblast,mesenchymal cell,mesothelial cell,neural progenitor cell,supporting cell",0.3483160436153412,"diencephalon,mesonephros",0.36918625235557556,0.71770334,False,False,False,False,False,False
Slamf9,3.120816444613422,0.3279687576275236,"blood cell,dendritic cell,kidney cell,late pro-B cell,leukocyte,lung macrophage,macrophage dendritic cell progenitor,myeloid dendritic cell,plasma cell,plasmacytoid dendritic cell,precursor B cell",1.910156488418579,kidney,0.42121192812919617,0.71981806,False,False,False,False,False,False
Igsf9,2.411061242767697,0.4808062213303252,"enterocyte of epithelium of large intestine,ependymal cell,epithelial cell of large intestine,glioblast,large intestine goblet cell,mesothelial cell,neural progenitor cell,pituitary gland cell,stem cell of epidermis,tanycyte",0.6854106187820435,"diencephalon,large intestine,mesonephros",0.6064949035644531,0.8377428,False,True,False,False,False,False
Tagln2,3.4059867254191745,0.2665606801264014,"Langerhans cell,basal cell",19.708906173706055,tongue,11.221494674682617,0.73306066,False,False,False,False,False,False
Cfap45,1.265096898501508,0.727576211062023,"ependymal cell,glutamatergic neuron,microglial cell,mural cell,neuron,pituitary gland cell,tanycyte",0.15927337110042572,hypothalamus,0.13532544672489166,0.94070107,True,True,True,True,False,False
Vsig8,0.2058674681555594,0.95566885369774,"basal cell of epidermis,keratinocyte",2.8148422241210938,tongue,2.358736515045166,0.9777694,True,True,True,True,True,True
Slamf8,2.050135699944593,0.558527306582238,"Kupffer cell,dendritic cell,kidney cell,macrophage dendritic cell progenitor,myeloid dendritic cell,myeloid leukocyte,plasmacytoid dendritic cell,precursor B cell",1.680136799812317,liver,0.5406470894813538,0.8954361,True,True,False,False,False,False
Dusp23,4.0980370012891765,0.1175357647136842,"adventitial cell,bronchial smooth muscle cell,endothelial cell of hepatic sinusoid,endothelial cell of lymphatic vessel,fibroblast of lung,hepatic stellate cell,smooth muscle cell of the pulmonary artery,vein endothelial cell",0.7908096313476562,None,0.30830973386764526,0.5120366,False,False,False,False,False,False
Crp,0.7148832085465013,0.8460582801593646,"duct epithelial cell,hepatocyte,pancreatic ductal cell",5.739037990570068,liver,2.4134366512298584,0.97321206,True,True,True,True,True,True
Apcs,0.0825454541664278,0.9822248039574988,"duct epithelial cell,hepatocyte,pancreatic ductal cell",2.7731142044067383,liver,1.2190220355987549,0.99143475,True,True,True,True,True,True
Fcer1a,0.5144275399634732,0.8892240588551843,"granulocyte,granulocytopoietic cell,lymphocyte,megakaryocyte-erythroid progenitor cell,neutrophil,proerythroblast",291.9181823730469,bone marrow,94.8180160522461,0.97936445,True,True,True,True,True,True
Ackr1,1.7961391664168844,0.6132224829933814,"GABAergic neuron,fibroblast of connective tissue of prostate,glioblast,glutamatergic neuron,prostate gland microvascular endothelial cell",0.4553616940975189,"diencephalon,primary motor cortex",0.3923449218273163,0.90586656,True,True,True,False,False,False
Cadm3,2.831129039482758,0.3903495449069671,"GABAergic neuron,adventitial cell,bladder cell,fibroblast of cardiac tissue,glioblast,glutamatergic neuron,mesenchymal stem cell,mesenchymal stem cell of adipose tissue,pancreatic stellate cell,stromal cell",1.6102328300476074,"diencephalon,primary motor cortex",1.4539133310317993,0.7913499,False,False,False,False,False,False
Aim2,3.330830650957429,0.2827446598601475,"macrophage,microglial cell",2.1173739433288574,"large intestine,spleen",0.5388256311416626,0.7543089,False,False,False,False,False,False
Ifi207,1.033041481614249,0.7775466251756684,"fibroblast,fibroblast of connective tissue of prostate,leptomeningeal cell,leukocyte,microglial cell",0.6472248435020447,urethra,0.08862721174955368,0.94771147,True,True,True,True,False,False
Ifi204,2.473975592141028,0.4672583536095588,"Kupffer cell,hepatic stellate cell,kidney cell,mesenchymal stem cell,mesenchymal stem cell of adipose tissue,monocyte,myeloid cell,myeloid leukocyte,stromal cell",3.4420483112335205,"adipose tissue,limb muscle",1.7815496921539307,0.8488173,False,False,False,False,False,False
