feature_name,entropy,entropy_score,peak_cell_types,max_average_cell_type_expression,peak_tissue,max_average_tissue_expression,tau_score,tau_TRA_0.85,entropy_TRA_0.85,tau_TRA_0.9,entropy_TRA_0.9,tau_TRA_0.95,entropy_TRA_0.95
Ddias,0.5882120097889253,0.8660816254448208,"Leydig cell,female germ cell,male germ cell,mesenchymal cell,mesothelial cell,native cell,neural progenitor cell,oocyte,oogonial cell,primordial germ cell",0.18784035742282867,ovary,0.15038205683231354,0.9680706,True,True,True,True,True,True
Prcp,3.697402040243057,0.1582115579652417,"alveolar macrophage,blood cell,erythroid progenitor cell, mammalian,kidney cell,lung macrophage,macrophage,macrophage dendritic cell progenitor,microglial cell,monocyte,myeloid cell,myeloid dendritic cell,non-classical monocyte,precursor B cell",2.003373146057129,"adipose tissue,lung",0.9503220915794373,0.5646023,False,False,False,False,False,False
Fam181b,2.578735900209044,0.4128985562756462,"Leydig cell,Sertoli cell,astrocyte,endothelial cell of coronary artery,erythrocyte,fenestrated cell,glioblast,kidney capillary endothelial cell,kidney cortex artery cell,supporting cell",1.0431243181228638,"gonad,heart",0.40427735447883606,0.7955476,False,False,False,False,False,False
Tenm4,0.3403418207524201,0.9225142930273228,"GABAergic neuron,ependymal cell,glutamatergic neuron,interstitial cell of ovary,neuron,pituitary gland cell,tanycyte",6.503756523132324,"hypothalamus,primary motor cortex",5.542621612548828,0.98060644,True,True,True,True,True,True
Nars2,2.9296357144001,0.3330091083110537,"Leydig cell,Sertoli cell,ependymal cell,leptomeningeal cell,native cell,neuron,pituitary gland cell,supporting cell,tanycyte",0.9117957353591919,"gonad,hypothalamus,primary motor cortex",0.4574625790119171,0.74147105,False,False,False,False,False,False
Gab2,1.6047236798851343,0.6346521607106619,"ependymal cell,leptomeningeal cell,macrophage,microglial cell,mural cell,native cell,oligodendrocyte precursor cell,pericyte,pituitary gland cell,tanycyte",5.90740442276001,"hypothalamus,primary motor cortex",1.9877395629882812,0.8948618,True,True,False,False,False,False
Usp35,2.0842230053109034,0.5254844300409558,"alveolar macrophage,ependymal cell,macrophage,microglial cell,native cell,neuron,pancreatic D cell,pituitary gland cell,tanycyte,type B pancreatic cell",0.31024450063705444,pancreas,0.4081479609012604,0.8624388,True,True,False,False,False,False
Kctd21,2.694877332180556,0.3864566075746717,"ependymal cell,macrophage,microglial cell,mural cell,neuron,pituitary gland cell,tanycyte",0.42796844244003296,"hypothalamus,primary motor cortex",0.2786899507045746,0.8179165,False,False,False,False,False,False
Alg8,3.161118171086009,0.2803074398283911,"ependymal cell,microglial cell,native cell,neuron,oocyte,oogonial cell,pituitary gland cell,tanycyte",0.4624931216239929,"hypothalamus,ovary",0.362288236618042,0.74593085,False,False,False,False,False,False
Ndufc2,3.9478362971234446,0.1011951284190474,"cardiac muscle cell,cell of skeletal muscle,epithelial cell of proximal tubule,kidney collecting duct epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle ascending limb epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,kidney proximal convoluted tubule epithelial cell,kidney proximal straight tubule epithelial cell,oocyte",8.655231475830078,"kidney,ovary",4.952091693878174,0.5743922,False,False,False,False,False,False
Thrsp,1.391638637318647,0.6831652853453749,"duct epithelial cell,endothelial cell of coronary artery,erythrocyte,fenestrated cell,hepatocyte,kidney capillary endothelial cell",7.642384052276611,liver,3.4219307899475098,0.91817963,True,True,True,True,False,False
Kctd14,0.1404832221886093,0.96801614986657,"Leydig cell,Sertoli cell,granulosa cell,ovarian surface epithelial cell,supporting cell",23.83440589904785,gonad,8.855033874511719,0.97880185,True,True,True,True,True,True
Ints4,3.6578787072482752,0.1672098450174963,"Sertoli cell,astrocyte,ependymal cell,male germ cell,microglial cell,mural cell,native cell,oligodendrocyte,oligodendrocyte precursor cell,primordial germ cell,tanycyte",0.8485140800476074,mesonephros,0.3919828236103058,0.6109652,False,False,False,False,False,False
Aamdc,2.3162165944351774,0.4726663919089336,"Leydig cell,Sertoli cell,astrocyte,fibroblast of connective tissue of prostate,granulosa cell,interstitial cell of ovary,leptomeningeal cell,microglial cell,mural cell,native cell,oligodendrocyte,oocyte,ovarian surface epithelial cell,smooth muscle cell of prostate,supporting cell,tanycyte",0.7751937508583069,gonad,0.5754510164260864,0.8244332,False,False,False,False,False,False
Rsf1,3.2476725677163385,0.2606015788217494,"astrocyte,ependymal cell,glioblast,granulosa cell,leptomeningeal cell,microglial cell,mural cell,native cell,neural progenitor cell,oligodendrocyte,oligodendrocyte precursor cell,ovarian surface epithelial cell,pericyte,pituitary gland cell,tanycyte",2.143447160720825,diencephalon,1.8071411848068237,0.71064067,False,False,False,False,False,False
Clns1a,3.830432340511949,0.127924516418793,"DN3 thymocyte,double negative thymocyte,immature T cell,male germ cell,mesothelial cell,oocyte,primordial germ cell,thymocyte",2.050779104232788,"mesonephros,thymus",1.4480186700820923,0.59383214,False,False,False,False,False,False
Aqp11,0.598888606763163,0.863650881956459,"DN3 thymocyte,double negative thymocyte,immature T cell,thymocyte",6.813110828399658,thymus,2.7344560623168945,0.9510255,True,True,True,True,True,True
Pak1,2.166489702472572,0.5067547506386818,"glutamatergic neuron,oligodendrocyte",11.000810623168945,primary motor cortex,4.059779644012451,0.8569442,True,True,False,False,False,False
Gdpd4,0.3002521703861782,0.9316415136963788,"GABAergic neuron,ependymal cell,glutamatergic neuron,leptomeningeal cell,native cell,oligodendrocyte precursor cell,pituitary gland cell",0.04365222528576851,primary motor cortex,0.03016277216374874,0.9651089,True,True,True,True,True,True
Myo7a,2.354669163445688,0.4639118859592741,"Kupffer cell,alveolar macrophage,endothelial cell of hepatic sinusoid,hepatic stellate cell,oogonial cell",0.7627768516540527,"liver,ovary",0.3098589777946472,0.83599865,False,False,False,False,False,False
Capn5,2.819924197796395,0.3579871565811391,"bladder urothelial cell,duct epithelial cell,enterocyte of epithelium of large intestine,kidney collecting duct principal cell,oligodendrocyte,urethra urothelial cell",1.1103496551513672,"bladder lumen,large intestine",0.7144687175750732,0.7840365,False,False,False,False,False,False
Omp,1.4806275343632644,0.6629051610239594,"bladder urothelial cell,ciliated columnar cell of tracheobronchial tree,enterocyte of epithelium of large intestine,epithelial cell of large intestine,large intestine goblet cell",0.1030409038066864,"bladder lumen,large intestine",0.0627598986029625,0.89795125,True,True,False,True,False,False
B3gnt6,0.380912549588788,0.91327754510333,"enterocyte of epithelium of large intestine,epithelial cell of large intestine,hematopoietic stem cell,intestinal crypt stem cell,large intestine goblet cell",0.21650388836860657,large intestine,0.13477128744125366,0.9585363,True,True,True,True,True,True
Acer3,3.5774510205722825,0.1855208364451401,"astrocyte,ependymal cell,leptomeningeal cell,macrophage,microglial cell,mural cell,native cell,pericyte,tanycyte",4.662589073181152,"hypothalamus,primary motor cortex",1.1924346685409546,0.6728865,False,False,False,False,False,False
Tsku,1.8961837101982413,0.5682953831240554,"bladder urothelial cell,duct epithelial cell,enterocyte of epithelium of large intestine,epithelial cell of large intestine,hepatic stellate cell,hepatocyte",1.1328550577163696,"large intestine,liver",0.5212434530258179,0.873359,True,True,False,False,False,False
Lrrc32,2.3451956711055604,0.4660687183163795,"endothelial cell,endothelial cell of hepatic sinusoid,fenestrated cell,hepatic stellate cell,kidney capillary endothelial cell,kidney cortex artery cell,mesangial cell,neuroendocrine cell,smooth muscle cell,smooth muscle cell of the pulmonary artery,smooth muscle cell of trachea,vein endothelial cell",2.881124258041382,limb muscle,1.4545154571533203,0.85388213,True,False,False,False,False,False
Emsy,1.813656115355214,0.5870844611663288,"GABAergic neuron,astrocyte,ependymal cell,glioblast,glutamatergic neuron,leptomeningeal cell,microglial cell,mural cell,native cell,neural progenitor cell,neuron,oligodendrocyte,pericyte,pituitary gland cell,tanycyte",1.299471378326416,"diencephalon,hypothalamus,primary motor cortex",1.0866283178329468,0.9018968,True,True,True,False,False,False
