feature_name,entropy,entropy_score,peak_cell_types,max_average_cell_type_expression,peak_tissue,max_average_tissue_expression,tau_score,tau_TRA_0.85,entropy_TRA_0.85,tau_TRA_0.9,entropy_TRA_0.9,tau_TRA_0.95,entropy_TRA_0.95
Tmtc4,1.7155114639179383,0.7645275562855818,"leptomeningeal cell,pericyte",4.876608848571777,"diencephalon,mesonephros",0.6586576700210571,0.973532,True,True,True,True,True,True
Nalcn,3.5509615647557893,0.5125922415701109,"GABAergic neuron,ependymal cell,leptomeningeal cell,mural cell,neuron,oligodendrocyte precursor cell,pericyte,pituitary gland cell,tanycyte",4.581002235412598,hypothalamus,4.343697547912598,0.93546575,True,True,True,True,False,False
Itgbl1,2.736887534306814,0.6243326789534167,"Schwann cell,leptomeningeal cell,mesenchymal stem cell",5.041714191436768,"limb muscle,trachea",0.9754260778427124,0.9684317,True,True,True,True,True,True
Fgf14,2.7617761756090764,0.620916444604979,"GABAergic neuron,ependymal cell,glutamatergic neuron,neuron,oligodendrocyte precursor cell,pituitary gland cell,tanycyte",27.255109786987305,"hypothalamus,primary motor cortex",24.88330078125,0.9676589,True,True,True,True,True,True
Alkbh8,4.723513480940789,0.3516468495436819,"GABAergic neuron,ependymal cell,glioblast,glutamatergic neuron,mural cell,native cell,neural progenitor cell,neuron,oligodendrocyte,oligodendrocyte precursor cell,pituitary gland cell,tanycyte",1.010209560394287,"diencephalon,hypothalamus",1.089863657951355,0.88482225,True,True,False,False,False,False
Cwf19l2,5.382599842119917,0.2611801407224829,"ependymal cell,leptomeningeal cell,microglial cell,mural cell,native cell,neuron,pericyte,pituitary gland cell,tanycyte",1.9493193626403809,hypothalamus,1.1951758861541748,0.83021337,False,False,False,False,False,False
Gucy1a2,2.4593653219849307,0.6624255946202231,"mural cell,neuron,pericyte",9.555081367492676,"hypothalamus,primary motor cortex",2.778254270553589,0.97103924,True,True,True,True,True,True
Aasdhppt,6.719924208512953,0.0776179534583891,"Leydig cell,Sertoli cell,male germ cell,oocyte,primordial germ cell,supporting cell",0.8374217748641968,"gonad,ovary",0.5861177444458008,0.6355656,False,False,False,False,False,False
Kbtbd3,6.51339093102241,0.1059668724728836,"ciliated columnar cell of tracheobronchial tree,ependymal cell,mural cell,native cell,neuron,pituitary gland cell,tanycyte",0.42322832345962524,hypothalamus,0.4125764071941376,0.66105074,False,False,False,False,False,False
Msantd4,4.509646519252154,0.3810023957803637,"GABAergic neuron,glioblast,granulosa cell,interstitial cell of ovary,neural progenitor cell,neuron,ovarian surface epithelial cell",1.0354149341583252,diencephalon,0.8198023438453674,0.92735535,True,True,True,False,False,False
Gria4,3.019685142461263,0.5855156583334333,"GABAergic neuron,ependymal cell,glutamatergic neuron,neuron,oligodendrocyte precursor cell,pituitary gland cell",10.928946495056152,"hypothalamus,primary motor cortex",10.105154991149902,0.96434325,True,True,True,True,True,True
