,external_gene_name,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,gene
1094,Niban2,0.9328,0.06720000000000004,2.6305174299780223,0.00014201559,4.407148e-05,0.0,0.25,1.7202421,1.708972,1.3608413,-3.4018488,6.158164,1.8673076923076877,0.5159681441557515,0.6346153846153826,0.28662215429170007,1.4841310625046615,0.44458354865325933,False,Goblet vs Rest,Goblet,Rest,Niban2
1095,Copz2,0.9328,0.06720000000000004,2.6305174299780223,4.2439362e-05,0.000111493064,0.0,0.25,-1.1462271,-1.2266388,1.9305071,-6.43972,4.7398767,0.338461538461538,0.8463518622797384,0.22692307692307634,0.4017375915051238,0.23136601202206108,0.9849554576066325,False,Goblet vs Rest,Goblet,Rest,Copz2
1096,Slc37a1,0.9328,0.06720000000000004,2.6305174299780223,4.7742455e-05,2.191537e-05,0.0,0.25,1.7062948,1.7347445,1.9506605,-5.414583,6.385336,0.44999999999999885,0.25862762448717436,0.33461538461538365,0.17174804923176362,0.35890457610376136,0.1929283641775656,False,Goblet vs Rest,Goblet,Rest,Slc37a1
1097,Dgat2,0.9326,0.06740000000000002,2.627331228810728,9.460457e-05,4.531606e-05,0.0,0.25,1.913508,2.0252604,2.082842,-4.642476,6.846818,1.346153846153843,0.6108921245273902,0.5596153846153828,0.22612822781755987,0.9495112813814351,0.4158222523740123,False,Goblet vs Rest,Goblet,Rest,Dgat2
1098,Arhgap27,0.9326,0.06740000000000002,2.627331228810728,4.205535e-05,1.7453249e-05,0.0,0.25,1.339361,1.360105,0.95179445,-2.568036,5.145467,0.5384615384615373,0.1921808382270167,0.3769230769230758,0.1484997184458241,0.4323063613302973,0.16867587501939946,False,Goblet vs Rest,Goblet,Rest,Arhgap27
1099,Kif1c,0.9326,0.06740000000000002,2.627331228810728,5.8767557e-05,2.5519994e-05,0.0,0.25,1.4013207,1.498755,1.0918852,-3.128335,5.274658,0.7249999999999983,0.25420320167324184,0.45576923076922937,0.1814817794224165,0.6039337017701238,0.2435943377194932,False,Goblet vs Rest,Goblet,Rest,Kif1c
1100,Gjb2,0.9324,0.0676,2.6241537869087113,0.00011258757,0.00010483681,0.0,0.25,1.3064964,1.3209395,2.5303676,-5.3857603,7.8103256,1.413461538461536,1.6080765827366603,0.38269230769230655,0.2652240366824962,0.9692872798683428,1.0615894038939722,False,Goblet vs Rest,Goblet,Rest,Gjb2
1101,Ttc7,0.9322,0.06779999999999997,2.6209850522269886,7.175642e-05,3.1685333e-05,0.0,0.25,1.3340541,1.3882504,0.9622147,-2.9525871,4.5440874,0.7615384615384596,0.3205695438822387,0.4480769230769217,0.21727938218969362,0.5972947189293629,0.2815624438858927,False,Goblet vs Rest,Goblet,Rest,Ttc7
1102,Birc2,0.9322,0.06779999999999997,2.6209850522269886,8.8084045e-05,0.0002425503,0.0,0.25,-1.3982682,-1.4454322,1.0147203,-5.009471,2.027275,0.91730769230769,2.865658434558699,0.4846153846153831,0.7168369399081752,0.707356968388094,2.471855713951003,False,Goblet vs Rest,Goblet,Rest,Birc2
1103,Adi1,0.932,0.06799999999999995,2.6178249731802863,6.0732455e-05,2.7238217e-05,0.0,0.25,1.3384001,1.4506683,1.1167278,-2.8627558,4.6520214,0.5076923076923071,0.24881345024535872,0.23653846153846092,0.1501085994690725,0.3494888387142753,0.20851920625917197,False,Goblet vs Rest,Goblet,Rest,Adi1
1104,Tent5a,0.932,0.06799999999999995,2.6178249731802863,0.00042083985,0.00010286641,0.0,0.25,1.9032826,1.8034196,1.5394478,-3.2108622,8.548529,6.603846153846178,0.9926795913441829,0.7807692307692282,0.32306330946827655,5.281537040841945,0.9412320152943289,False,Goblet vs Rest,Goblet,Rest,Tent5a
1105,Apoe,0.9318,0.06820000000000004,2.6146734986376408,0.00029876304,0.0012549777,0.0,0.25,-1.302819,-1.2798982,2.3500068,-7.6505866,6.334095,1.824999999999999,10.716515163704077,0.3057692307692299,0.6143512187273222,1.300586255900454,16.137428885249292,False,Goblet vs Rest,Goblet,Rest,Apoe
1106,St14,0.9318,0.06820000000000004,2.6146734986376408,0.00023187418,8.914842e-05,0.0,0.25,1.5881789,1.5797601,1.0975981,-2.1444168,4.7263527,2.8615384615384536,1.0198696806370613,0.830769230769228,0.4681843777652831,2.2472843308439394,0.8513924413101381,False,Goblet vs Rest,Goblet,Rest,St14
