NAME	TITLE	SCORE	
Cdc14b		11.087851	
F830016B08Rik		11.086528	
Zeb1		11.077188	
Kmt2c		11.076388	
Tcf12		11.063526	
Filip1l		11.051734	
Ppp1r12a		11.048998	
Kalrn		11.03681	
Syne2		10.991252	
Stag1		10.990194	
Gm4951		10.962519	
Fat3		10.948623	
Gbp5		10.941897	
Lpcat2		10.906404	
Tgtp2		10.904664	
Bltp1		10.902845	
Tulp4		10.886429	
Wnt4		10.884167	
Tra2b		10.879278	
Cpxm1		10.860166	
Map4k4		10.848088	
Pthlh		10.787214	
Mmp9		10.683491	
Chd6		10.682982	
Taf1d		10.657464	
Elk3		10.644556	
Casp12		10.644051	
Csmd1		10.641121	
Mylip		10.610221	
Lpar1		10.587997	
Bcr		10.582624	
Arhgef12		10.58224	
Myo18a		10.57543	
Smad5		10.565802	
Fat2		10.559815	
Adgrl2		10.559393	
Bmpr2		10.553038	
Ccn1		10.549391	
Cpxm2		10.546999	
Zbtb10		10.536389	
Sema3f		10.506717	
Cdh3		10.503592	
Dync1h1		10.499677	
Ssbp3		10.485407	
Ccnl2		10.481455	
Xrn1		10.44255	
Tgtp1		10.440859	
Gsn		10.427065	
Adar		10.420729	
Synm		10.417633	
Lrp1		10.410053	
Nsd3		10.407571	
Yap1		10.398132	
Anxa1		10.397536	
Qki		10.3731	
Bach1		10.371219	
Irf9		10.365193	
Cxadr		10.352106	
Slc27a3		10.349676	
Igsf10		10.304127	
Notch1		10.296094	
Ctsl		10.293128	
Susd6		10.289354	
Rtp4		10.285398	
Usp24		10.26132	
Smoc2		10.25425	
Baz1b		10.239934	
Pnisr		10.226468	
Csrp1		10.221025	
Zfp292		10.215786	
Tead3		10.208883	
Mex3a		10.206432	
Trim30a		10.204985	
Afap1l2		10.193818	
Clec2d		10.18882	
Klf6		10.185063	
Smad7		10.166476	
Scn7a		10.157663	
Pros1		10.149357	
Ythdc1		10.148798	
Rest		10.14503	
Erf		10.137196	
Dipk2a		10.125501	
Cdcp1		10.091965	
Tgfb1i1		10.081835	
Ankrd44		10.078513	
Vmn2r95		10.05793	
Acta2		10.054878	
Angptl2		10.052325	
Lama4		10.048148	
Spaca6		10.02979	
Ptms		10.027758	
Maged1		10.02265	
Trim8		10.020396	
Npffr1		10.01989	
Sik1		10.01931	
Ston2		10.014096	
Cxcl14		10.013629	
Zcchc2		10.008342	
Dram1		10.005817	
Cemip2		10.002242	
Heca		10.000553	
Plekha5		9.993023	
Scmh1		9.949291	
Gli3		9.940521	
Scx		9.928752	
Phf11d		9.90921	
Myo1b		9.886957	
Cxcl10		9.886902	
Stat3		9.884286	
Morc4		9.881305	
Sh2d4b		9.879473	
Ccl21d		9.821419	
Traf5		9.809468	
Srgap3		9.79621	
Plcg1		9.790158	
Synpo		9.777589	
Col18a1		9.768178	
Taok1		9.73663	
Rai14		9.735637	
Myh11		9.727439	
Arhgef5		9.709611	
Dppa2		9.701091	
Mx1		9.696824	
Slitrk4		9.686504	
Itpr2		9.68585	
Pde4b		9.650745	
Aff1		9.638316	
Smg6		9.634998	
Trim44		9.622889	
Ppp1r9b		9.612859	
Pde7a		9.595346	
Ubn2		9.58879	
Pcdh7		9.573965	
Akap9		9.573894	
Nipbl		9.568726	
Pdzd2		9.5649185	
Tnfsf10		9.558992	
Dtx3l		9.558419	
Fermt2		9.54364	
Gm12185		9.54018	
Dsc3		9.516209	
Zfp704		9.514093	
Mapk13		9.501169	
