NAME	TITLE	SCORE	
Ddx60		10.616102	
Alcam		10.610565	
Mlph		10.592942	
Ifi27l2a		10.578802	
Klf5		10.515143	
Ifitm1		10.512151	
Plac8		10.476734	
Gcnt2		10.465306	
Kctd14		10.413038	
Mal		10.400185	
2200002D01Rik		10.399391	
Trim30a		10.364969	
Rab27b		10.33385	
Pttg1ip		10.297442	
Hes1		10.278382	
Lmo7		10.264388	
Aqp4		10.2416725	
St8sia6		10.237934	
Cxadr		10.201041	
Vill		10.187537	
Cd24a		10.152624	
Tceal9		10.120965	
Serpinb7		10.109638	
Cast		10.068252	
St14		10.05518	
Cdc42ep5		10.001536	
Cebpb		9.9892845	
Dusp6		9.9657345	
Itgam		9.960992	
Prss22		9.954888	
Shisa5		9.906725	
Ablim1		9.860597	
Ppl		9.854952	
Nfib		9.8535185	
Bsg		9.83173	
Mmp15		9.80688	
Btg2		9.763674	
Phf11d		9.734031	
Plekha6		9.716177	
Perp		9.711813	
Anxa2		9.605537	
Mllt3		9.595941	
Cxcl5		9.591214	
Laptm4a		9.572546	
Cldn23		9.523809	
Krt18		9.506803	
Samd9l		9.476325	
Clu		9.470293	
Gfpt1		9.423519	
Actn4		9.40122	
Sat1		9.307853	
Gprc5a		9.289425	
Myh14		9.284324	
Ifit3		9.271775	
Slfn2		9.260166	
Foxa1		9.249902	
Cftr		9.242789	
Rdh10		9.233131	
Wnt7b		9.205252	
Tmc5		9.197334	
Pon3		9.193496	
Cxcl16		9.187706	
Pls3		9.17429	
Plxnb2		9.13146	
Lgals3		9.114399	
Kcnk1		9.113374	
Ctsb		9.088045	
Kcnj16		9.014134	
Hebp2		9.000342	
Eps8l1		8.953941	
Rassf7		8.935383	
Macc1		8.931497	
Apol9a		8.891673	
Evpl		8.886221	
Foxq1		8.8624935	
Enpp5		8.837398	
Klf4		8.829176	
Parp9		8.828815	
Met		8.827093	
Tst		8.820295	
Myo5c		8.820151	
Fam174b		8.810671	
Cryab		8.760669	
Cd164		8.753881	
Oas2		8.740261	
Dusp1		8.732369	
Ehf		8.730963	
Myl12a		8.712693	
H2-K1		8.701187	
Rnd3		8.681	
Tgfbr2		8.665238	
Adgrg1		8.660064	
Tent5a		8.658102	
Qsox1		8.655644	
Errfi1		8.641558	
Epn3		8.625659	
Jund		8.612982	
Pof1b		8.57259	
Cobl		8.551351	
Ckap4		8.541435	
Agr2		8.523114	
Ybx3		8.52019	
Ifit3b		8.516646	
Epas1		8.510479	
Anxa8		8.494954	
Slc44a4		8.491944	
Oasl2		8.484751	
Ces1d		8.48281	
Rhou		8.482006	
Bpifa1		8.470473	
Lratd1		8.4450445	
